"Input","Match type","Approved symbol","Approved name","HGNC ID","Location"
"LINC00337","Previous symbol","ICMT-DT","ICMT divergent transcript","HGNC:28620","1p36.31"
"RP1-202O8.3","Unmatched","","","",""
"RP11-242F24.1","Unmatched","","","",""
"RP11-312B8.1","Unmatched","","","",""
"RP3-467L1.6","Unmatched","","","",""
"RP5-892F13.2","Unmatched","","","",""
"RP3-510D11.2","Unmatched","","","",""
"PTCHD2","Previous symbol","DISP3","dispatched RND transporter family member 3","HGNC:29251","1p36.22"
"RP5-1077B9.5","Unmatched","","","",""
"RP4-680D5.9","Unmatched","","","",""
"C1orf64","Previous symbol","SRARP","steroid receptor associated and regulated protein","HGNC:28339","1p36.13"
"C1orf234","Previous symbol","TEX46","testis expressed 46","HGNC:44651","1p36.12"
"TMEM57","Previous symbol","MACO1","macoilin 1","HGNC:25572","1p36.11"
"RP1-125I3.2","Unmatched","","","",""
"RP1-125I3.4","Unmatched","","","",""
"RP11-344H11.4","Unmatched","","","",""
"RP11-344H11.5","Unmatched","","","",""
"RP11-4K3__A.5","Unmatched","","","",""
"RP1-159A19.3","Unmatched","","","",""
"RP11-288L9.1","Alias symbol","LINC02574","long intergenic non-protein coding RNA 2574","HGNC:53746","1p35.3"
"RP11-288L9.4","Unmatched","","","",""
"RP11-460I13.2","Unmatched","","","",""
"ATPIF1","Previous symbol","ATP5IF1","ATP synthase inhibitory factor subunit 1","HGNC:871","1p35.3"
"RP5-1092A3.4","Unmatched","","","",""
"RP4-669K10.8","Unmatched","","","",""
"RP11-73M7.6","Unmatched","","","",""
"RP11-73M7.9","Unmatched","","","",""
"BAI2","Previous symbol","ADGRB2","adhesion G protein-coupled receptor B2","HGNC:944","1p35.2"
"RP11-114B7.6","Unmatched","","","",""
"FKSG48","Unmatched","","","",""
"RP11-415J8.7","Unmatched","","","",""
"RP11-244H3.1","Unmatched","","","",""
"ZMYM6NB","Previous symbol","TMEM35B","transmembrane protein 35B","HGNC:40021","1p34.3"
"RP11-244H3.4","Unmatched","","","",""
"RP11-109P14.9","Unmatched","","","",""
"RP11-656D10.7","Unmatched","","","",""
"RP4-739H11.3","Unmatched","","","",""
"RP11-399E6.1","Unmatched","","","",""
"RP5-994D16.9","Unmatched","","","",""
"CCDC23","Previous symbol","SVBP","small vasohibin binding protein","HGNC:29204","1p34.2"
"RP11-342M1.3","Unmatched","","","",""
"C1orf228","Previous symbol","ARMH1","armadillo like helical domain containing 1","HGNC:34345","1p34.1"
"RP11-767N6.7","Unmatched","","","",""
"FAM159A","Previous symbol","SHISAL2A","shisa like 2A","HGNC:28757","1p32.3"
"RP4-631H13.6","Unmatched","","","",""
"RP4-631H13.4","Unmatched","","","",""
"MIR1273F","Entry withdrawn","MIR1273F","","HGNC:41733",""
"MIR5095","Entry withdrawn","MIR5095","","HGNC:41849",""
"RP4-784A16.5","Unmatched","","","",""
"RP4-705F19.1","Unmatched","","","",""
"AC099796.1","Unmatched","","","",""
"RP11-377K22.3","Unmatched","","","",""
"RP11-230B22.1","Unmatched","","","",""
"RP4-535B20.4","Unmatched","","","",""
"RP4-535B20.1","Unmatched","","","",""
"RP4-682C21.5","Unmatched","","","",""
"RP4-706L14.2","Unmatched","","","",""
"RP11-486G15.2","Unmatched","","","",""
"RP11-486G15.1","Unmatched","","","",""
"RP11-131L23.2","Unmatched","","","",""
"RP4-612B15.3","Unmatched","","","",""
"SEP15","Alias symbol","SELENOF","selenoprotein F","HGNC:17705","1p22.3"
"CCBL2","Previous symbol","KYAT3","kynurenine aminotransferase 3","HGNC:33238","1p22.2"
"FLJ27354","Alias symbol","LRRC8C-DT","LRRC8C divergent transcript","HGNC:53731","1p22.2"
"RP11-302M6.4","Unmatched","","","",""
"RP5-943J3.2","Unmatched","","","",""
"RP4-665J23.1","Unmatched","","","",""
"RP4-665J23.2","Unmatched","","","",""
"FAM69A","Previous symbol","DIPK1A","divergent protein kinase domain 1A","HGNC:32213","1p22.1"
"RP4-561L24.3","Unmatched","","","",""
"TMEM56","Previous symbol","TLCD4","TLC domain containing 4","HGNC:26477","1p21.3"
"TMEM56-RWDD3","Previous symbol","TLCD4-RWDD3","TLCD4-RWDD3 readthrough","HGNC:49388","1p21.3"
"RP11-57H12.2","Unmatched","","","",""
"RP11-57H12.3","Unmatched","","","",""
"RP11-296E3.2","Unmatched","","","",""
"HIAT1","Previous symbol","MFSD14A","major facilitator superfamily domain containing 14A","HGNC:23363","1p21.2"
"RP11-305E17.4","Unmatched","","","",""
"RP5-837M10.2","Unmatched","","","",""
"RP4-549L20.3","Unmatched","","","",""
"RP11-483I13.5","Unmatched","","","",""
"RP11-483I13.6","Unmatched","","","",""
"RP11-475E11.9","Unmatched","","","",""
"RP5-1065J22.8","Unmatched","","","",""
"RP5-1065J22.4","Unmatched","","","",""
"C1orf194","Previous symbol","CFAP276","cilia and flagella associated protein 276","HGNC:32331","1p13.3"
"RP5-1160K1.8","Unmatched","","","",""
"RP5-1160K1.6","Unmatched","","","",""
"RP5-1074L1.1","Unmatched","","","",""
"RP11-96K19.5","Unmatched","","","",""
"ATP5F1","Previous symbol","ATP5PB","ATP synthase peripheral stalk-membrane subunit b","HGNC:840","1p13.2"
"FAM212B","Previous symbol","INKA2","inka box actin regulator 2","HGNC:28045","1p13.2"
"FAM212B-AS1","Previous symbol","INKA2-AS1","INKA2 antisense RNA 1","HGNC:49446","1p13.2"
"RP11-426L16.9","Unmatched","","","",""
"FAM19A3","Previous symbol","TAFA3","TAFA chemokine like family member 3","HGNC:21590","1p13.2"
"RP11-31F15.2","Unmatched","","","",""
"RP11-27K13.3","Unmatched","","","",""
"RP11-188D8.1","Unmatched","","","",""
"AL157902.3","Unmatched","","","",""
"FAM46C","Previous symbol","TENT5C","terminal nucleotidyltransferase 5C","HGNC:24712","1p12"
"CH17-270A2.1","Unmatched","","","",""
"HFE2","Previous symbol","HJV","hemojuvelin BMP co-receptor","HGNC:4887","1q21.1"
"RP11-337C18.8","Unmatched","","","",""
"RP11-337C18.10","Unmatched","","","",""
"RNU1-120P","Previous symbol","RNVU1-22","RNA, variant U1 small nuclear 22","HGNC:48462","1q21.2"
"HIST2H3D","Previous symbol","H3C13","H3 clustered histone 13","HGNC:25311","1q21.2"
"HIST2H2BE","Previous symbol","H2BC21","H2B clustered histone 21","HGNC:4760","1q21.2"
"HIST2H2AC","Previous symbol","H2AC20","H2A clustered histone 20","HGNC:4738","1q21.2"
"HIST2H2AB","Previous symbol","H2AC21","H2A clustered histone 21","HGNC:20508","1q21.2"
"RP4-790G17.7","Unmatched","","","",""
"RP11-126K1.9","Unmatched","","","",""
"RP11-126K1.8","Unmatched","","","",""
"RP11-404E16.1","Unmatched","","","",""
"RP11-98D18.2","Unmatched","","","",""
"RP11-98D18.16","Unmatched","","","",""
"RP11-98D18.9","Alias symbol","TDRKH-AS1","TDRKH antisense RNA 1","HGNC:40578","1q21.3"
"AL450992.6","Unmatched","","","",""
"RP11-216N14.8","Unmatched","","","",""
"RP11-216N14.9","Unmatched","","","",""
"RP11-422P24.9","Unmatched","","","",""
"C1orf189","Previous symbol","CFAP141","cilia and flagella associated protein 141","HGNC:32305","1q21.3"
"AC234582.2","Unmatched","","","",""
"AC234582.1","Unmatched","","","",""
"RP11-263K19.6","Unmatched","","","",""
"AL713999.1","Unmatched","","","",""
"RP11-336K24.12","Unmatched","","","",""
"RP11-336K24.5","Unmatched","","","",""
"AL355388.1","Unmatched","","","",""
"C1orf61","Previous symbol","MIR9-1HG","MIR9-1 host gene","HGNC:30780","1q22"
"C1orf204","Previous symbol","SNHG28","small nucleolar RNA host gene 28","HGNC:27647","1q23.2"
"RP11-536C5.7","Unmatched","","","",""
"RP11-122G18.9","Unmatched","","","",""
"RP11-466F5.9","Unmatched","","","",""
"RP11-9L18.3","Unmatched","","","",""
"RP3-455J7.4","Unmatched","","","",""
"RP1-313L4.4","Unmatched","","","",""
"RP1-313L4.3","Unmatched","","","",""
"RP5-1018K9.1","Unmatched","","","",""
"RP3-471M13.2","Unmatched","","","",""
"RP11-160H22.3","Unmatched","","","",""
"RP11-160H22.5","Unmatched","","","",""
"RP11-177A2.5","Unmatched","","","",""
"RP11-345I18.4","Unmatched","","","",""
"RP11-533E19.5","Unmatched","","","",""
"RP11-317P15.4","Unmatched","","","",""
"C1orf106","Previous symbol","INAVA","innate immunity activator","HGNC:25599","1q32.1"
"RP11-90L20.2","Unmatched","","","",""
"RP11-465N4.5","Unmatched","","","",""
"RP11-383G10.5","Unmatched","","","",""
"RP11-534L20.5","Unmatched","","","",""
"RP11-343H5.6","Unmatched","","","",""
"RP11-343H5.4","Unmatched","","","",""
"RP11-2P2.1","Unmatched","","","",""
"RP11-359E8.5","Unmatched","","","",""
"RP11-552D8.1","Unmatched","","","",""
"RP11-338C15.3","Unmatched","","","",""
"FLVCR1-AS1","Previous symbol","FLVCR1-DT","FLVCR1 divergent transcript","HGNC:39077","1q32.3"
"RP11-224O19.5","Unmatched","","","",""
"EPRS","Previous symbol","EPRS1","glutamyl-prolyl-tRNA synthetase 1","HGNC:3418","1q41"
"RP11-239E10.2","Unmatched","","","",""
"RP11-504P24.9","Unmatched","","","",""
"RP11-100E13.1","Unmatched","","","",""
"RP11-285F7.2","Unmatched","","","",""
"RP4-559A3.6","Unmatched","","","",""
"H3F3A","Previous symbol","H3-3A","H3.3 histone A","HGNC:4764","1q42.12"
"RP11-396C23.4","Unmatched","","","",""
"RP11-396C23.2","Unmatched","","","",""
"C1orf95","Previous symbol","STUM","stum, mechanosensory transduction mediator homolog","HGNC:30491","1q42.12"
"FAM96AP2","Previous symbol","CIAO2AP2","CIAO2A pseudogene 2","HGNC:43862","1q42.13"
"RP11-520H14.7","Unmatched","","","",""
"RP11-520H14.1","Unmatched","","","",""
"RP5-915N17.3","Unmatched","","","",""
"HIST3H2A","Previous symbol","H2AC25","H2A clustered histone 25","HGNC:20507","1q42.13"
"HIST3H2BB","Previous symbol","H2BC26","H2B clustered histone 26","HGNC:20514","1q42.13"
"HIST3H2BA","Previous symbol","H2BC27P","H2B clustered histone 27, pseudogene","HGNC:20515","1q42.13"
"RP4-613A2.1","Unmatched","","","",""
"RP5-858B6.3","Unmatched","","","",""
"RP5-862P8.3","Unmatched","","","",""
"MLK4","Alias symbol","MAP3K21","mitogen-activated protein kinase kinase kinase 21","HGNC:29798","1q42.2"
"RP11-382D8.3","Unmatched","","","",""
"RP11-527D7.1","Unmatched","","","",""
"ADSS","Previous symbol","ADSS2","adenylosuccinate synthase 2","HGNC:292","1q44"
"RP11-156E8.1","Unmatched","","","",""
"AP000253.1","Unmatched","","","",""
"IL10RB-AS1","Previous symbol","IL10RB-DT","IL10RB divergent transcript","HGNC:44303","21q22.11"
"AP000302.58","Unmatched","","","",""
"AP000304.12","Unmatched","","","",""
"AP001437.1","Unmatched","","","",""
"AF129408.17","Unmatched","","","",""
"AP001619.3","Unmatched","","","",""
"AP001630.5","Unmatched","","","",""
"AJ011932.1","Unmatched","","","",""
"RP4-607J2.1","Unmatched","","","",""
"AC072052.7","Unmatched","","","",""
"AC079742.4","Unmatched","","","",""
"C7orf26","Previous symbol","INTS15","integrator complex subunit 15","HGNC:21702","7p22.1"
"RP11-511H23.2","Unmatched","","","",""
"CTA-293F17.1","Unmatched","","","",""
"AC002480.3","Unmatched","","","",""
"AC005682.5","Alias symbol","SNHG26","small nucleolar RNA host gene 26","HGNC:53131","7p15.3"
"KLHL7-AS1","Previous symbol","KLHL7-DT","KLHL7 divergent transcript","HGNC:43431","7p15.3"
"NUPL2","Previous symbol","NUP42","nucleoporin 42","HGNC:17010","7p15.3"
"MPP6","Previous symbol","PALS2","protein associated with LIN7 2, MAGUK p55 family member","HGNC:18167","7p15.3"
"MPP6","Alias symbol","MPHOSPH6","M-phase phosphoprotein 6","HGNC:7214","16q23.3"
"HOTAIRM1_1","Unmatched","","","",""
"HOTAIRM1_2","Unmatched","","","",""
"HOTAIRM1_3","Unmatched","","","",""
"HOTAIRM1_4","Unmatched","","","",""
"HOTAIRM1_5","Unmatched","","","",""
"RP1-170O19.22","Unmatched","","","",""
"RP1-170O19.23","Unmatched","","","",""
"RP1-170O19.24","Unmatched","","","",""
"HOXA10-HOXA9","Unmatched","","","",""
"HOXA11-AS1_1","Unmatched","","","",""
"HOXA11-AS1_2","Unmatched","","","",""
"HOXA11-AS1_3","Unmatched","","","",""
"HOXA11-AS1_4","Unmatched","","","",""
"HOXA11-AS1_5","Unmatched","","","",""
"HOXA11-AS1_6","Unmatched","","","",""
"AC007285.6","Unmatched","","","",""
"GARS","Previous symbol","GARS1","glycyl-tRNA synthetase 1","HGNC:4162","7p14.3"
"AC083863.5","Unmatched","","","",""
"AC074338.5","Unmatched","","","",""
"RP11-377H23.1","Unmatched","","","",""
"AC010132.11","Unmatched","","","",""
"AC011738.1","Unmatched","","","",""
"RP11-52M17.1","Unmatched","","","",""
"H2AFV","Previous symbol","H2AZ2","H2A.Z variant histone 2","HGNC:20664","7p13"
"AC004854.4","Alias symbol","H2AZ2-DT","H2AZ2 divergent transcript","HGNC:52775","7p13"
"SEPT7P2","Previous symbol","SEPTIN7P2","septin 7 pseudogene 2","HGNC:32339","7p12.3"
"RP11-310H4.1","Unmatched","","","",""
"GBAS","Previous symbol","NIPSNAP2","nipsnap homolog 2","HGNC:4179","7p11.2"
"RP11-460N20.3","Unmatched","","","",""
"RP11-479O9.2","Unmatched","","","",""
"GS1-124K5.4","Unmatched","","","",""
"RP11-313P13.5","Unmatched","","","",""
"CTB-51J22.1","Alias symbol","ELN-AS1","ELN antisense RNA 1","HGNC:40212","7q11.23"
"RP5-1186P10.2","Unmatched","","","",""
"RP11-229D13.3","Unmatched","","","",""
"AC005077.5","Unmatched","","","",""
"AC005522.6","Unmatched","","","",""
"RP5-899E9.1","Unmatched","","","",""
"AC003991.3","Unmatched","","","",""
"AC002064.7","Unmatched","","","",""
"AC002456.2","Unmatched","","","",""
"AC002454.1","Unmatched","","","",""
"ATP5J2","Previous symbol","ATP5MF","ATP synthase membrane subunit f","HGNC:848","7q22.1"
"ATP5J2-PTCD1","Previous symbol","ATP5MF-PTCD1","ATP5MF-PTCD1 readthrough","HGNC:38844","7q22.1"
"GATS","Previous symbol","CASTOR3P","CASTOR family member 3, pseudogene","HGNC:29954","7q22.1"
"C7orf61","Previous symbol","SPACDR","sperm acrosome developmental regulator","HGNC:22135","7q22.1"
"RP11-44M6.3","Unmatched","","","",""
"RP11-395B7.2","Unmatched","","","",""
"RP11-395B7.7","Unmatched","","","",""
"RP11-132A1.4","Unmatched","","","",""
"RP11-514P8.2","Unmatched","","","",""
"RP11-22N19.2","Unmatched","","","",""
"RP4-593H12.1","Unmatched","","","",""
"LINC00998","Previous symbol","SMIM30","small integral membrane protein 30","HGNC:48953","7q31.1"
"AC002066.1","Unmatched","","","",""
"ST7-AS1_1","Unmatched","","","",""
"ST7-AS1_2","Unmatched","","","",""
"ST7-OT4_1","Unmatched","","","",""
"ST7-OT4_2","Unmatched","","","",""
"RP11-212P7.2","Unmatched","","","",""
"RP11-274B21.1","Unmatched","","","",""
"RP11-309L24.2","Unmatched","","","",""
"RP11-128A6.3","Unmatched","","","",""
"RP11-306G20.1","Unmatched","","","",""
"RP11-2E11.5","Unmatched","","","",""
"RP11-2E11.10","Unmatched","","","",""
"MESTIT1_1","Unmatched","","","",""
"RP11-744I24.2","Unmatched","","","",""
"AC093673.5","Unmatched","","","",""
"FAM115A","Previous symbol","TCAF1","TRPM8 channel associated factor 1","HGNC:22201","7q35"
"RP5-1136G13.2","Unmatched","","","",""
"AC099552.4","Unmatched","","","",""
"AC099552.3","Unmatched","","","",""
"AC144652.1","Unmatched","","","",""
"AC009403.2","Unmatched","","","",""
"RP11-705O1.8","Unmatched","","","",""
"RP11-806L2.5","Unmatched","","","",""
"RP11-806L2.6","Unmatched","","","",""
"RP11-672L10.6","Unmatched","","","",""
"RP11-715F3.2","Unmatched","","","",""
"RP11-193E15.4","Unmatched","","","",""
"RP13-270P17.1","Unmatched","","","",""
"RP11-838N2.5","Unmatched","","","",""
"RP11-874J12.3","Unmatched","","","",""
"RP11-21J18.1","Unmatched","","","",""
"RP11-143J12.3","Unmatched","","","",""
"RP11-888D10.3","Unmatched","","","",""
"RP11-973H7.4","Unmatched","","","",""
"RP11-973H7.5","Unmatched","","","",""
"RP11-621L6.3","Unmatched","","","",""
"RP11-650P15.1","Unmatched","","","",""
"RP11-549B18.1","Unmatched","","","",""
"RP11-49I11.1","Unmatched","","","",""
"NARS","Previous symbol","NARS1","asparaginyl-tRNA synthetase 1","HGNC:7643","18q21.31"
"RP11-35G9.3","Alias symbol","ATP8B1-AS1","ATP8B1 antisense RNA 1","HGNC:56042","18q21.31"
"RP11-126O1.5","Unmatched","","","",""
"RP11-27G24.1","Unmatched","","","",""
"RP11-120K19.4","Unmatched","","","",""
"RP11-635N19.1","Unmatched","","","",""
"RP11-638L3.1","Unmatched","","","",""
"CTB-25B13.9","Unmatched","","","",""
"LLNLR-304A6.2","Unmatched","","","",""
"CTC-265F19.1","Unmatched","","","",""
"AC005944.2","Unmatched","","","",""
"AC005786.7","Unmatched","","","",""
"AC004637.1","Unmatched","","","",""
"CTD-2622I13.3","Unmatched","","","",""
"CCDC94","Previous symbol","YJU2","YJU2 splicing factor homolog","HGNC:25518","19p13.3"
"AC005578.3","Unmatched","","","",""
"C19orf10","Previous symbol","MYDGF","myeloid derived growth factor","HGNC:16948","19p13.3"
"AC005523.3","Unmatched","","","",""
"AC005523.2","Unmatched","","","",""
"AC104532.3","Unmatched","","","",""
"CTD-2325M2.1","Unmatched","","","",""
"CTC-543D15.8","Unmatched","","","",""
"CTD-2623N2.11","Unmatched","","","",""
"CTD-2369P2.2","Unmatched","","","",""
"CTC-510F12.2","Unmatched","","","",""
"CTC-510F12.3","Unmatched","","","",""
"LPPR2","Alias symbol","PLPPR2","phospholipid phosphatase related 2","HGNC:29566","19p13.2"
"CTC-398G3.1","Unmatched","","","",""
"CTC-398G3.2","Unmatched","","","",""
"CTD-2659N19.4","Unmatched","","","",""
"C19orf43","Previous symbol","TRIR","telomerase RNA component interacting RNase","HGNC:28424","19p13.13"
"ASNA1","Previous symbol","GET3","guided entry of tail-anchored proteins factor 3, ATPase","HGNC:752","19p13.13"
"CTD-2265O21.7","Unmatched","","","",""
"AD000092.3","Unmatched","","","",""
"CTB-5E10.3","Unmatched","","","",""
"LPHN1","Previous symbol","ADGRL1","adhesion G protein-coupled receptor L1","HGNC:20973","19p13.12"
"CTC-548K16.5","Unmatched","","","",""
"AC010646.3","Unmatched","","","",""
"KIAA1683","Previous symbol","IQCN","IQ motif containing N","HGNC:29350","19p13.11"
"CTD-3137H5.4","Unmatched","","","",""
"AC005387.2","Unmatched","","","",""
"CTB-184G21.3","Unmatched","","","",""
"CTC-559E9.6","Unmatched","","","",""
"C19orf40","Previous symbol","FAAP24","FA core complex associated protein 24","HGNC:28467","19q13.11"
"CTC-461H2.3","Unmatched","","","",""
"AC092295.4","Unmatched","","","",""
"AC104534.2","Unmatched","","","",""
"CTC-246B18.10","Unmatched","","","",""
"CYP2T2P","Previous symbol","CYP2T1P","cytochrome P450 family 2 subfamily T member 1, pseudogene","HGNC:18852","19q13.2"
"AC115522.3","Unmatched","","","",""
"RP11-15A1.7","Unmatched","","","",""
"AC092066.6","Unmatched","","","",""
"CTB-129P6.7","Unmatched","","","",""
"CD3EAP","Previous symbol","POLR1G","RNA polymerase I subunit G","HGNC:24219","19q13.32"
"AC007193.10","Unmatched","","","",""
"CTB-174O21.2","Unmatched","","","",""
"AC008622.1","Unmatched","","","",""
"CTD-2571L23.8","Unmatched","","","",""
"CTD-3001H11.2","Unmatched","","","",""
"C19orf68","Previous symbol","ZSWIM9","zinc finger SWIM-type containing 9","HGNC:34495","19q13.33"
"CTD-2639E6.9","Unmatched","","","",""
"CTB-60B18.10","Unmatched","","","",""
"CCDC155","Previous symbol","KASH5","KASH domain containing 5","HGNC:26520","19q13.33"
"CTB-33G10.11","Unmatched","","","",""
"CTB-33G10.6","Unmatched","","","",""
"AC006942.4","Unmatched","","","",""
"CTD-2525I3.5","Unmatched","","","",""
"AC012314.19","Unmatched","","","",""
"CTD-2587H24.10","Unmatched","","","",""
"FAM71E2","Previous symbol","GARIN5B","golgi associated RAB2 interactor family member 5B","HGNC:25278","19q13.42"
"CTD-2105E13.15","Unmatched","","","",""
"CTD-2621I17.8","Unmatched","","","",""
"CTC-444N24.13","Unmatched","","","",""
"AC003006.7","Unmatched","","","",""
"CTD-2619J13.9","Unmatched","","","",""
"CTD-2619J13.13","Alias symbol","LINC02560","long intergenic non-protein coding RNA 2560","HGNC:53600","19q13.43"
"CTD-2619J13.16","Unmatched","","","",""
"CTD-2619J13.23","Unmatched","","","",""
"AC016629.7","Unmatched","","","",""
"RP11-680F8.1","Unmatched","","","",""
"RP11-932O9.7","Unmatched","","","",""
"RP11-16E12.1","Unmatched","","","",""
"RP11-1000B6.5","Unmatched","","","",""
"RP11-1000B6.8","Unmatched","","","",""
"RP11-128A17.2","Unmatched","","","",""
"RP11-1008C21.2","Unmatched","","","",""
"RP11-325N19.3","Unmatched","","","",""
"RP11-64K12.4","Unmatched","","","",""
"TCEB1P2","Previous symbol","ELOCP2","elongin C pseudogene 2","HGNC:17762","15q15.1"
"RP11-23P13.4","Unmatched","","","",""
"RP11-516C1.1","Unmatched","","","",""
"CTD-2651B20.7","Unmatched","","","",""
"CTD-2651B20.6","Unmatched","","","",""
"RP11-227D13.1","Unmatched","","","",""
"CTD-2184D3.3","Unmatched","","","",""
"RP11-430B1.2","Unmatched","","","",""
"DYX1C1","Previous symbol","DNAAF4","dynein axonemal assembly factor 4","HGNC:21493","15q21.3"
"DYX1C1-CCPG1","Previous symbol","DNAAF4-CCPG1","DNAAF4-CCPG1 readthrough (NMD candidate)","HGNC:43019","15q21.3"
"RP11-844G16.3","Unmatched","","","",""
"RP11-30K9.7","Unmatched","","","",""
"RP11-30K9.6","Unmatched","","","",""
"FAM63B","Previous symbol","MINDY2","MINDY lysine 48 deubiquitinase 2","HGNC:26954","15q21.3-q22.1"
"RP11-352D13.6","Unmatched","","","",""
"RP11-253M7.1","Unmatched","","","",""
"RP11-138H8.8","Unmatched","","","",""
"RP11-247C2.1","Unmatched","","","",""
"CTD-2311M21.2","Unmatched","","","",""
"CTD-2311M21.3","Unmatched","","","",""
"CTD-2311M21.4","Unmatched","","","",""
"CTD-2311M21.5","Unmatched","","","",""
"CTD-3154N5.2","Unmatched","","","",""
"RP11-69H7.3","Unmatched","","","",""
"RP11-817O13.9","Unmatched","","","",""
"C15orf27","Previous symbol","TMEM266","transmembrane protein 266","HGNC:26763","15q24.2"
"RP11-81A1.6","Unmatched","","","",""
"RP11-2E17.2","Unmatched","","","",""
"RP11-28H5.2","Unmatched","","","",""
"RP11-775C24.3","Unmatched","","","",""
"C15orf26","Previous symbol","CFAP161","cilia and flagella associated protein 161","HGNC:26782","15q25.1"
"RP11-761I4.4","Unmatched","","","",""
"RP11-761I4.3","Unmatched","","","",""
"FAM103A1","Previous symbol","RAMAC","RNA guanine-7 methyltransferase activating subunit","HGNC:31022","15q25.2"
"HDGFRP3","Alias symbol","HDGFL3","HDGF like 3","HGNC:24937","15q25.2"
"RP11-182J1.17","Unmatched","","","",""
"RP11-326A19.3","Unmatched","","","",""
"RP11-493E3.1","Unmatched","","","",""
"RP11-617F23.2","Unmatched","","","",""
"RP11-387D10.2","Unmatched","","","",""
"AC068831.15","Unmatched","","","",""
"AC068831.3","Unmatched","","","",""
"AC068831.6","Unmatched","","","",""
"RP11-262A16.1","Unmatched","","","",""
"RP11-522B15.3","Unmatched","","","",""
"RP11-66B24.4","Unmatched","","","",""
"TARSL2","Previous symbol","TARS3","threonyl-tRNA synthetase 3","HGNC:24728","15q26.3"
"Z69720.2","Unmatched","","","",""
"Z69666.2","Unmatched","","","",""
"LA16c-359F1.1","Unmatched","","","",""
"LA16c-366D1.3","Unmatched","","","",""
"AL022341.3","Unmatched","","","",""
"PRR25","Approved symbol","PRR25","proline rich 25","HGNC:37230","16p13.3"
"RP11-161M6.6","Unmatched","","","",""
"LA16c-390E6.3","Unmatched","","","",""
"RP11-304L19.12","Unmatched","","","",""
"RP11-304L19.11","Unmatched","","","",""
"RP11-715J22.3","Unmatched","","","",""
"RP11-715J22.4","Unmatched","","","",""
"C16orf59","Previous symbol","TEDC2","tubulin epsilon and delta complex 2","HGNC:25849","16p13.3"
"RP11-715J22.2","Unmatched","","","",""
"RP11-20I23.1","Unmatched","","","",""
"LA16c-321D4.1","Unmatched","","","",""
"LA16c-321D4.2","Unmatched","","","",""
"LINC00514","Previous symbol","GREP1","glycine rich extracellular protein 1","HGNC:27549","16p13.3"
"LA16c-380H5.3","Unmatched","","","",""
"LA16c-380H5.4","Unmatched","","","",""
"LA16c-380H5.2","Unmatched","","","",""
"LA16c-380H5.5","Unmatched","","","",""
"CCDC64B","Previous symbol","BICDL2","BICD family like cargo adaptor 2","HGNC:33584","16p13.3"
"RP11-473M20.5","Unmatched","","","",""
"RP11-295D4.5","Unmatched","","","",""
"RP11-127I20.8","Unmatched","","","",""
"RP11-77H9.6","Unmatched","","","",""
"RP11-77H9.8","Unmatched","","","",""
"RP11-486I11.2","Unmatched","","","",""
"C16orf45","Previous symbol","BMERB1","bMERB domain containing 1","HGNC:19213","16p13.11"
"KIAA0430","Previous symbol","MARF1","meiosis regulator and mRNA stability factor 1","HGNC:29562","16p13.11"
"RP11-1035H13.3","Unmatched","","","",""
"RP11-1035H13.2","Unmatched","","","",""
"CTD-2288F12.1","Unmatched","","","",""
"CTB-31N19.2","Unmatched","","","",""
"CTD-2649C14.2","Unmatched","","","",""
"AC092338.5","Unmatched","","","",""
"CTD-2270L9.4","Unmatched","","","",""
"RP11-266L9.8","Unmatched","","","",""
"CTD-3203P2.3","Unmatched","","","",""
"RP11-24N18.1","Unmatched","","","",""
"RP11-22P6.3","Unmatched","","","",""
"RP11-368N21.5","Unmatched","","","",""
"RP11-347C12.12","Unmatched","","","",""
"RP11-297C4.7","Unmatched","","","",""
"RP11-2C24.4","Unmatched","","","",""
"RP11-2C24.3","Unmatched","","","",""
"RP11-2C24.7","Unmatched","","","",""
"RP11-2C24.5","Unmatched","","","",""
"RP11-196G11.2","Unmatched","","","",""
"RP11-196G11.6","Unmatched","","","",""
"AC135050.5","Unmatched","","","",""
"RP11-452L6.6","Unmatched","","","",""
"CTD-2358C21.2","Unmatched","","","",""
"CTD-2358C21.3","Unmatched","","","",""
"CTD-2358C21.5","Unmatched","","","",""
"RP11-169E6.1","Unmatched","","","",""
"RP11-329J18.2","Unmatched","","","",""
"CTC-527H23.1","Unmatched","","","",""
"CTC-527H23.2","Unmatched","","","",""
"RP11-42I10.1","Unmatched","","","",""
"PAPD5","Previous symbol","TENT4B","terminal nucleotidyltransferase 4B","HGNC:30758","16q12.1"
"RP11-21B23.1","Unmatched","","","",""
"RP11-327F22.2","Unmatched","","","",""
"hsa-mir-3181","Alias symbol","MIR3181","microRNA 3181","HGNC:38378","16q12.1"
"CTD-3032H12.2","Unmatched","","","",""
"CTD-3032H12.1","Unmatched","","","",""
"RP11-343H19.1","Unmatched","","","",""
"RP11-325K4.3","Unmatched","","","",""
"RP11-325K4.2","Unmatched","","","",""
"AC012181.1","Unmatched","","","",""
"RP11-407G23.1","Unmatched","","","",""
"RP11-407G23.7","Unmatched","","","",""
"RP11-407G23.4","Unmatched","","","",""
"RP11-405F3.5","Unmatched","","","",""
"RP11-459F6.1","Unmatched","","","",""
"RP11-403P17.4","Unmatched","","","",""
"RP11-403P17.6","Unmatched","","","",""
"RP11-403P17.2","Unmatched","","","",""
